region;code;tesla
Sofia City Province;SOF;100
Targovishte Province;TGV;87
Varna;VAR;76
Dobrich Province;DOB;72
Shumen Province;SHU;71
Burgas;BGS;70
Ruse;RSE;66
Veliko Tarnovo Province;VTR;66
Montana Province;MON;66
Plovdiv Province;PDV;64
Sofia Province;SFO;64
Stara Zagora;SZR;60
Smoljan;SML;60
Blagoevgrad Province;BLG;56
Haskovo Province;HKV;55
Lovec;LOV;54
Razgrad;RAZ;54
Pleven Province;PVN;51
Gabrovo;GAB;50
Pazardzik;PAZ;49
Kardzhali Province;KRZ;49
Jambol;JAM;49
Silistra;SLS;48
Pernik;PER;44
Sliven Province;SLV;43
Kyustendil Province;KNL;40
Vraca;VRC;36
Vidin;VID;35